t,diff,hist,ssim,votes,spike,stable
0.50,0.0058,0.0818,0.9619,2,1,0
1.00,0.0098,0.0932,0.9399,2,1,0
1.50,0.0059,0.0851,0.9539,2,1,0
2.00,0.0035,0.0789,0.9721,0,0,0
2.50,0.0043,0.0613,0.9649,1,0,0
3.00,0.0061,0.1288,0.9582,2,1,0
3.50,0.0058,0.0781,0.9555,2,1,0
4.00,0.0068,0.0958,0.9538,2,1,0
4.50,0.0031,0.0695,0.9765,0,0,0
5.00,0.0040,0.0655,0.9691,1,0,0
5.51,0.0034,0.0712,0.9754,0,0,0
6.01,0.0033,0.0818,0.9725,0,0,0
6.51,0.0062,0.0813,0.9573,2,1,0
7.01,0.0131,0.0924,0.9124,2,1,0
7.51,0.0076,0.1261,0.9427,2,1,0
8.01,0.0051,0.0768,0.9634,2,1,0
8.51,0.0165,0.0884,0.9053,2,1,0
9.01,0.0251,0.0969,0.8850,2,1,0
9.51,0.0037,0.0808,0.9770,0,0,0
10.01,0.0225,0.0960,0.8918,2,1,0
10.51,0.0090,0.0773,0.9341,2,1,0
11.01,0.0063,0.2036,0.9766,1,0,0
11.51,0.0046,0.0838,0.9701,1,0,0
12.01,0.3252,0.7064,0.1604,2,1,0
12.51,0.0031,0.1763,0.9883,0,0,0
13.01,0.0001,0.0226,0.9998,0,0,1
13.51,0.0002,0.0353,0.9996,0,0,1
14.01,0.0001,0.0261,0.9996,0,0,1
14.51,0.0001,0.0183,0.9997,0,0,1
15.02,0.0000,0.0055,0.9999,0,0,1
15.52,0.0008,0.0715,0.9979,0,0,1
16.02,0.0023,0.1472,0.9917,0,0,1
16.52,0.0001,0.0296,0.9997,0,0,1
17.02,0.0000,0.0217,1.0000,0,0,1
17.52,0.0000,0.0118,1.0000,0,0,1
18.02,0.0001,0.0448,0.9997,0,0,1
18.52,0.0001,0.0157,0.9997,0,0,1
19.02,0.0000,0.0394,1.0000,0,0,1
19.52,0.0001,0.0349,0.9998,0,0,1
20.02,0.0022,0.1360,0.9924,0,0,1
20.52,0.0001,0.0278,0.9996,0,0,1
21.02,0.0000,0.0186,1.0000,0,0,1
21.52,0.0000,0.0189,0.9999,0,0,1
22.02,0.0001,0.0306,0.9996,0,0,1
22.52,0.0001,0.0208,0.9996,0,0,1
23.02,0.0000,0.0080,1.0000,0,0,1
23.52,0.0000,0.0104,1.0000,0,0,1
24.02,0.0001,0.0250,0.9996,0,0,1
24.52,0.0021,0.1275,0.9928,0,0,1
25.03,0.0000,0.0016,1.0000,0,0,1
25.53,0.0001,0.0307,0.9998,0,0,1
26.03,0.0001,0.0247,0.9997,0,0,1
26.53,0.0001,0.0249,0.9997,0,0,1
27.03,0.0000,0.0075,1.0000,0,0,1
27.53,0.0001,0.0261,0.9999,0,0,1
28.03,0.0001,0.0292,0.9996,0,0,1
28.53,0.0021,0.1255,0.9930,0,0,1
29.03,0.0001,0.0257,0.9999,0,0,1
29.53,0.0000,0.0034,1.0000,0,0,1
30.03,0.0002,0.0372,0.9996,0,0,1
30.53,0.0001,0.0218,0.9997,0,0,1
31.03,0.0000,0.0243,0.9999,0,0,1
31.53,0.0000,0.0207,0.9999,0,0,1
32.03,0.0003,0.0462,0.9994,0,0,1
32.53,0.0001,0.0244,0.9996,0,0,1
33.03,0.0020,0.1238,0.9929,0,0,1
